progname	min_thresh	ignoreUnsure	okpara	auc
EricScript	4	1	1	0.08
deFuse	4	1	1	0.07
nFuse	4	1	1	0.07
STAR-Fusion	4	0	0	0.76
ChimPipe	4	0	0	0.47
FusionCatcher	4	0	0	0.46
SOAP-fuse	4	0	0	0.45
InFusion	4	0	0	0.42
JAFFA-Direct	4	0	0	0.42
MapSplice	4	0	0	0.39
PRADA	4	0	0	0.34
TopHat-Fusion	4	0	0	0.32
JAFFA-Assembly	4	0	0	0.28
JAFFA-Hybrid	4	0	0	0.20
FusionHunter	4	0	0	0.19
ChimeraScan	4	0	0	0.17
nFuse	4	0	0	0.11
deFuse	4	0	0	0.10
EricScript	4	0	0	0.08
STAR-Fusion	4	1	0	0.81
ChimPipe	4	1	0	0.52
SOAP-fuse	4	1	0	0.48
FusionCatcher	4	1	0	0.47
JAFFA-Direct	4	1	0	0.44
InFusion	4	1	0	0.41
MapSplice	4	1	0	0.37
TopHat-Fusion	4	1	0	0.36
PRADA	4	1	0	0.32
JAFFA-Assembly	4	1	0	0.31
JAFFA-Hybrid	4	1	0	0.20
ChimeraScan	4	1	0	0.18
FusionHunter	4	1	0	0.11
EricScript	4	1	0	0.08
deFuse	4	1	0	0.07
nFuse	4	1	0	0.06
STAR-Fusion	5	1	0	0.89
ChimPipe	5	1	0	0.59
FusionCatcher	5	1	0	0.58
SOAP-fuse	5	1	0	0.55
JAFFA-Direct	5	1	0	0.50
MapSplice	5	1	0	0.46
InFusion	5	1	0	0.45
PRADA	5	1	0	0.40
TopHat-Fusion	5	1	0	0.39
JAFFA-Assembly	5	1	0	0.36
JAFFA-Hybrid	5	1	0	0.23
ChimeraScan	5	1	0	0.20
FusionHunter	5	1	0	0.14
EricScript	5	1	0	0.09
deFuse	5	1	0	0.07
nFuse	5	1	0	0.06
STAR-Fusion	5	0	1	0.81
FusionCatcher	5	0	1	0.56
SOAP-fuse	5	0	1	0.50
ChimPipe	5	0	1	0.49
JAFFA-Direct	5	0	1	0.47
MapSplice	5	0	1	0.47
InFusion	5	0	1	0.46
PRADA	5	0	1	0.42
TopHat-Fusion	5	0	1	0.34
JAFFA-Assembly	5	0	1	0.32
FusionHunter	5	0	1	0.23
JAFFA-Hybrid	5	0	1	0.22
ChimeraScan	5	0	1	0.18
nFuse	5	0	1	0.12
deFuse	5	0	1	0.10
EricScript	5	0	1	0.09
STAR-Fusion	5	0	0	0.81
FusionCatcher	5	0	0	0.56
SOAP-fuse	5	0	0	0.51
ChimPipe	5	0	0	0.49
JAFFA-Direct	5	0	0	0.47
MapSplice	5	0	0	0.47
InFusion	5	0	0	0.45
PRADA	5	0	0	0.42
TopHat-Fusion	5	0	0	0.34
JAFFA-Assembly	5	0	0	0.31
FusionHunter	5	0	0	0.23
JAFFA-Hybrid	5	0	0	0.22
ChimeraScan	5	0	0	0.18
nFuse	5	0	0	0.12
deFuse	5	0	0	0.10
EricScript	5	0	0	0.09
STAR-Fusion	5	1	1	0.90
ChimPipe	5	1	1	0.59
FusionCatcher	5	1	1	0.58
SOAP-fuse	5	1	1	0.55
JAFFA-Direct	5	1	1	0.52
InFusion	5	1	1	0.47
MapSplice	5	1	1	0.46
PRADA	5	1	1	0.40
TopHat-Fusion	5	1	1	0.40
JAFFA-Assembly	5	1	1	0.36
JAFFA-Hybrid	5	1	1	0.23
ChimeraScan	5	1	1	0.20
FusionHunter	5	1	1	0.15
EricScript	5	1	1	0.10
deFuse	5	1	1	0.08
nFuse	5	1	1	0.07
